v(Vout),v(V1),v(V2)
1.79999988,0.75,0.7
1.79999944,0.76,0.7
1.79999967,0.77,0.7
1.7999997,0.78,0.7
1.7999997,0.79,0.7
1.79999971,0.8,0.7
1.79999971,0.81,0.7
1.79999972,0.82,0.7
1.79999972,0.83,0.7
1.79999973,0.84,0.7
1.79999973,0.85,0.7
1.79999973,0.86,0.7
1.79999974,0.87,0.7
1.79999974,0.88,0.7
1.79999975,0.89,0.7
1.79999975,0.9,0.7
1.79999976,0.91,0.7
1.79999976,0.92,0.7
1.79999977,0.93,0.7
1.79999977,0.94,0.7
1.79999978,0.95,0.7
1.79999978,0.96,0.7
1.79999979,0.97,0.7
1.79999979,0.98,0.7
1.79999979,0.99,0.7
1.79999979,1,0.7
1.79999979,1.01,0.7
1.79999979,1.02,0.7
1.7999998,1.03,0.7
1.7999998,1.04,0.7
1.7999998,1.05,0.7
1.7999998,1.06,0.7
1.7999998,1.07,0.7
1.7999998,1.08,0.7
1.7999998,1.09,0.7
1.7999998,1.1,0.7
1.7999998,1.11,0.7
1.7999998,1.12,0.7
1.7999998,1.13,0.7
1.7999998,1.14,0.7
1.7999998,1.15,0.7
1.7999998,1.16,0.7
1.7999998,1.17,0.7
1.7999998,1.18,0.7
1.7999998,1.19,0.7
1.7999998,1.2,0.7
1.7999998,1.21,0.7
1.7999998,1.22,0.7
1.7999998,1.23,0.7
1.7999998,1.24,0.7
1.7999998,1.25,0.7
1.7999998,1.26,0.7
1.7999998,1.27,0.7
1.7999998,1.28,0.7
1.7999998,1.29,0.7
1.7999998,1.3,0.7
1.7999998,1.31,0.7
1.7999998,1.32,0.7
1.7999998,1.33,0.7
1.7999998,1.34,0.7
1.7999998,1.35,0.7
1.7999998,1.36,0.7
1.7999998,1.37,0.7
1.7999998,1.38,0.7
1.7999998,1.39,0.7
1.7999998,1.4,0.7
1.7999998,1.41,0.7
1.7999998,1.42,0.7
1.7999998,1.43,0.7
1.7999998,1.44,0.7
1.7999998,1.45,0.7
1.7999998,1.46,0.7
1.7999998,1.47,0.7
1.7999998,1.48,0.7
1.7999998,1.49,0.7
1.7999998,1.5,0.7
1.7999998,1.51,0.7
1.7999998,1.52,0.7
1.7999998,1.53,0.7
1.7999998,1.54,0.7
1.7999998,1.55,0.7
1.7999998,1.56,0.7
1.7999998,1.57,0.7
1.7999998,1.58,0.7
1.7999998,1.59,0.7
1.7999998,1.6,0.7
1.7999998,1.61,0.7
1.7999998,1.62,0.7
1.7999998,1.63,0.7
1.7999998,1.64,0.7
1.7999998,1.65,0.7
1.7999998,1.66,0.7
1.7999998,1.67,0.7
1.7999998,1.68,0.7
1.7999998,1.69,0.7
1.7999998,1.7,0.7
1.7999998,1.71,0.7
1.7999998,1.72,0.7
1.7999998,1.73,0.7
1.7999998,1.74,0.7
1.7999998,1.75,0.7
1.7999998,1.76,0.7
1.7999998,1.77,0.7
1.7999998,1.78,0.7
1.7999998,1.79,0.7
1.7999998,1.8,0.7
0.00842568567,0,0.9
0.00842573957,0.01,0.9
0.00842579736,0.02,0.9
0.00842585233,0.03,0.9
0.0084259116,0.04,0.9
0.0084259757,0.05,0.9
0.00842603685,0.06,0.9
0.00842610241,0.07,0.9
0.00842616981,0.08,0.9
0.00842624044,0.09,0.9
0.0084263119,0.1,0.9
0.00842638509,0.11,0.9
0.00842646028,0.12,0.9
0.00842654054,0.13,0.9
0.00842662286,0.14,0.9
0.00842670773,0.15,0.9
0.00842679638,0.16,0.9
0.00842688638,0.17,0.9
0.00842698383,0.18,0.9
0.0084270824,0.19,0.9
0.00842718497,0.2,0.9
0.00842728908,0.21,0.9
0.00842740273,0.22,0.9
0.00842751571,0.23,0.9
0.00842763528,0.24,0.9
0.00842776157,0.25,0.9
0.0084278934,0.26,0.9
0.00842802929,0.27,0.9
0.00842817297,0.28,0.9
0.0084283202,0.29,0.9
0.00842847902,0.3,0.9
0.00842864494,0.31,0.9
0.00842881586,0.32,0.9
0.00842899617,0.33,0.9
0.00842918849,0.34,0.9
0.00842938886,0.35,0.9
0.00842960042,0.36,0.9
0.00842982544,0.37,0.9
0.00843006042,0.38,0.9
0.00843031162,0.39,0.9
0.00843057813,0.4,0.9
0.00843086238,0.41,0.9
0.00843116303,0.42,0.9
0.00843148146,0.43,0.9
0.00843182469,0.44,0.9
0.00843219423,0.45,0.9
0.00843258651,0.46,0.9
0.00843301178,0.47,0.9
0.00843346842,0.48,0.9
0.00843395874,0.49,0.9
0.00843449095,0.5,0.9
0.00843507263,0.51,0.9
0.00843570256,0.52,0.9
0.00843638954,0.53,0.9
0.0084371449,0.54,0.9
0.00843797076,0.55,0.9
0.00843888545,0.56,0.9
0.00843989918,0.57,0.9
0.00844102251,0.58,0.9
0.00844227392,0.59,0.9
0.00844367722,0.6,0.9
0.00844525185,0.61,0.9
0.00844703543,0.62,0.9
0.00844905513,0.63,0.9
0.00845136232,0.64,0.9
0.00845400469,0.65,0.9
0.00845705267,0.66,0.9
0.00846058661,0.67,0.9
0.00846471299,0.68,0.9
0.00846956339,0.69,0.9
0.00847530823,0.7,0.9
0.00848218275,0.71,0.9
0.00849050129,0.72,0.9
