Vout,V1,V2
1.79999976,0.916,0.1
1.79999977,0.917,0.1
1.79999976,0.918,0.1
1.79999977,0.919,0.1
1.79999977,0.92,0.1
1.79999977,0.921,0.1
1.79999977,0.922,0.1
1.79999977,0.923,0.1
1.79999977,0.924,0.1
1.79999977,0.925,0.1
1.79999977,0.926,0.1
1.79999977,0.927,0.1
1.79999977,0.928,0.1
1.79999977,0.929,0.1
1.79999977,0.93,0.1
1.79999977,0.931,0.1
1.79999977,0.932,0.1
1.79999977,0.933,0.1
1.79999977,0.934,0.1
1.79999977,0.935,0.1
1.79999977,0.936,0.1
1.79999977,0.937,0.1
1.79999977,0.938,0.1
1.79999977,0.939,0.1
1.79999978,0.94,0.1
1.79999977,0.941,0.1
1.79999978,0.942,0.1
1.79999977,0.943,0.1
1.79999978,0.944,0.1
1.79999978,0.945,0.1
1.79999978,0.946,0.1
1.79999978,0.947,0.1
1.79999978,0.948,0.1
1.79999978,0.949,0.1
1.79999978,0.95,0.1
1.79999978,0.951,0.1
1.79999978,0.952,0.1
1.79999978,0.953,0.1
1.79999978,0.954,0.1
1.79999978,0.955,0.1
1.79999978,0.956,0.1
1.79999978,0.957,0.1
1.79999978,0.958,0.1
1.79999978,0.959,0.1
1.79999978,0.96,0.1
1.79999978,0.961,0.1
1.79999978,0.962,0.1
1.79999978,0.963,0.1
1.79999979,0.964,0.1
1.79999978,0.965,0.1
1.79999978,0.966,0.1
1.79999978,0.967,0.1
1.79999978,0.968,0.1
1.79999979,0.969,0.1
1.79999978,0.97,0.1
1.79999978,0.971,0.1
1.79999979,0.972,0.1
1.79999978,0.973,0.1
1.79999978,0.974,0.1
1.79999979,0.975,0.1
1.79999979,0.976,0.1
1.79999979,0.977,0.1
1.79999979,0.978,0.1
1.79999979,0.979,0.1
1.79999979,0.98,0.1
1.79999979,0.981,0.1
1.79999979,0.982,0.1
1.79999979,0.983,0.1
1.79999979,0.984,0.1
1.79999979,0.985,0.1
1.79999979,0.986,0.1
1.79999979,0.987,0.1
1.79999979,0.988,0.1
1.79999979,0.989,0.1
