Iout,V1,V2,Vout
-3.66521441E-07,0.30495,0.5,0.9
-3.66521306E-07,0.30496,0.5,0.9
-3.66521149E-07,0.30497,0.5,0.9
-3.66521036E-07,0.30498,0.5,0.9
-3.66520958E-07,0.30499,0.5,0.9
-3.66520759E-07,0.305,0.5,0.9
-3.66520673E-07,0.30501,0.5,0.9
-3.66520567E-07,0.30502,0.5,0.9
-3.66520467E-07,0.30503,0.5,0.9
-3.66520254E-07,0.30504,0.5,0.9
-3.66520219E-07,0.30505,0.5,0.9
-3.66520005E-07,0.30506,0.5,0.9
-3.66519892E-07,0.30507,0.5,0.9
-3.66519863E-07,0.30508,0.5,0.9
-3.66519686E-07,0.30509,0.5,0.9
-3.66519551E-07,0.3051,0.5,0.9
-3.66519416E-07,0.30511,0.5,0.9
-3.66519359E-07,0.30512,0.5,0.9
-3.66519203E-07,0.30513,0.5,0.9
-3.66519053E-07,0.30514,0.5,0.9
-3.66518989E-07,0.30515,0.5,0.9
-3.66518812E-07,0.30516,0.5,0.9
-3.66518705E-07,0.30517,0.5,0.9
-3.66518577E-07,0.30518,0.5,0.9
-3.66518414E-07,0.30519,0.5,0.9
-3.66518314E-07,0.3052,0.5,0.9
-3.66518201E-07,0.30521,0.5,0.9
-3.66518108E-07,0.30522,0.5,0.9
-3.66517909E-07,0.30523,0.5,0.9
-3.66517902E-07,0.30524,0.5,0.9
-3.6651776E-07,0.30525,0.5,0.9
-3.66517568E-07,0.30526,0.5,0.9
-3.66517476E-07,0.30527,0.5,0.9
-3.66517334E-07,0.30528,0.5,0.9
-3.66517192E-07,0.30529,0.5,0.9
-3.66517014E-07,0.3053,0.5,0.9
-3.66516986E-07,0.30531,0.5,0.9
-3.66516794E-07,0.30532,0.5,0.9
-3.66516787E-07,0.30533,0.5,0.9
-3.66516566E-07,0.30534,0.5,0.9
-3.66516467E-07,0.30535,0.5,0.9
-3.66516325E-07,0.30536,0.5,0.9
-3.66516268E-07,0.30537,0.5,0.9
-3.6651614E-07,0.30538,0.5,0.9
-3.66515991E-07,0.30539,0.5,0.9
-3.66515827E-07,0.3054,0.5,0.9
-3.66515785E-07,0.30541,0.5,0.9
-3.66515522E-07,0.30542,0.5,0.9
-3.6651543E-07,0.30543,0.5,0.9
-3.66515387E-07,0.30544,0.5,0.9
-3.66515181E-07,0.30545,0.5,0.9
-3.66515032E-07,0.30546,0.5,0.9
-3.6651501E-07,0.30547,0.5,0.9
-3.66514811E-07,0.30548,0.5,0.9
-3.66514733E-07,0.30549,0.5,0.9
-3.66514598E-07,0.3055,0.5,0.9
-3.66514541E-07,0.30551,0.5,0.9
-3.66514328E-07,0.30552,0.5,0.9
-3.6651425E-07,0.30553,0.5,0.9
-3.66514094E-07,0.30554,0.5,0.9
-3.66513937E-07,0.30555,0.5,0.9
-3.66513845E-07,0.30556,0.5,0.9
-3.6651376E-07,0.30557,0.5,0.9
-3.6651354E-07,0.30558,0.5,0.9
-3.66513454E-07,0.30559,0.5,0.9
-3.66513355E-07,0.3056,0.5,0.9
-3.6651317E-07,0.30561,0.5,0.9
-3.66513092E-07,0.30562,0.5,0.9
-3.66512978E-07,0.30563,0.5,0.9
-3.66512793E-07,0.30564,0.5,0.9
-3.66512687E-07,0.30565,0.5,0.9
-3.66512609E-07,0.30566,0.5,0.9
-3.66512445E-07,0.30567,0.5,0.9
-3.66512296E-07,0.30568,0.5,0.9
-3.66512239E-07,0.30569,0.5,0.9
-3.66512147E-07,0.3057,0.5,0.9
-3.66511927E-07,0.30571,0.5,0.9
-3.66511863E-07,0.30572,0.5,0.9
-3.66511784E-07,0.30573,0.5,0.9
-3.66511536E-07,0.30574,0.5,0.9
-3.66511514E-07,0.30575,0.5,0.9
